word	freq_piyut	freq_memar	memar_he_candidate	conf	source	context
יתגלג	12	3	בפני	0.498	פיוט #102 — דפסח אלה על בתיון	ונסיר דו אחד י לית כותה לעלם תורה תמימה ברוך יהוה נו תינה יתגלג נביה
הקרוש	15	0		0	פיוט #136 — מימרי * כן ירוד חיינון	שמו הקרוש • בדכיות פממינו : אמר לנו בתורה * על יר משה נבינו : כי
מגיבים	15	0		0	פיוט #169 — צלות השבת השני דמן חדש הראישון	מגיבים : אמן :
וא	8	7	אותכ	0.307	פיוט #259 — צלות שבעת עמי חג המצות צפרה	מזצרה * בלוחות ביד אלה 'מדכים : ההר הרי וא בע בר היר דן
תשתמע	13	2	ינו	0.814	פיוט #299 — צלות שבת מועד חג המצות	במועדיבוך ; ובו חג אל הר השכינה * והנחלה קדש טבריכון : ובו תשתמע
יז	14	0		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	טובו וחסדו עמדתי בין ידיך אדרש רח־מיך וחסדיך אימר קטיך אה אדני יז
רעלמה	14	0		0	פיוט #13 — צלות מרקה	ננודה רעלמה * בתרך מהלכה : נטורון דחייה * בטובך טתקרבה :
נב	3	11	הנביא	0.774	פיוט #21 — השבת צפרה	£ דכררה £ ״ .יותג ,יבני ע •ייהון נב*י
עובר	14	0		0	פיוט #31 — עורן כן על מועדיה וראשי ירחיה	שטעוי לכל עובר ואתו שמעי • מן מלו משבחתך * מן שוי ריתלמר
תי	13	1		0	פיוט #43 — קטפי לילת שבתה רמשה	ברוך יהוד . אלהינו אשר אמר את שבת תי תשמרו מקדשי תיר או אני יה וה :
סי	8	6		0	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן	ועצמו סי כמוך באילים יהוה מי כמוך נאררי בקדש נורא תהלת עשה פליה :
שביר	14	0		0	פיוט #64 — תפלה * , אלתפלה ג *-גו אבישע	הלכתי ; על בן עמדתי פניו : וירי לו הרמתי : וצעקתי בלב שביר : ארתי
זי	14	0		0	פיוט #116 — ישתבח	זי * נן בעדן מקדם וגו
שופט	11	2		0	פיוט #10 — ב מימריו ן	ובכל אלהי מצרים אעשה שפטים אני יהוה : שופט שמך :
ור	11	2	אחר	0.661	פיוט #13 — צלות מרקה	גבורתך כסיה ־ וטובך ור חמיך נלץ : נליתה וכסיאתה * בשלטן אלהותך :
תסתנד	13	0		0	פיוט #14 — בלבה אלילו	לית אלהו אלא דילך • ברומה ובמכה : לעלם עלמים * תסתנד והשתבח :
ומ	11	2	מגנ	0.283	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	והבו רבו לאלהותו • רטלת רומה ומ כה : וטי כמו באילים • אל
דעתיד	10	3		0	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	רילון בירקה הו חרבך • דעתיד מוקד כל םרתוי ג * ערן דתגלנה , בנצתן •
אצטמתו	11	2	נאספו	0.383	פיוט #31 — עורן כן על מועדיה וראשי ירחיה	אצטמתו • ואלהים ממלל מלגו לבה דאשתה * וכל ישראל שמע ורתת מן
ירוש	13	0		0	פיוט #79 — צלות שבת צמות הפסח	בהלן צבעין * מלב ומנפש : פני אלהינו * דו ירוש על כל ירש : ונפרש את
ברכאתו	13	0		0	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש	מי ארש שם משה • בן עמרם נביכם : מן ברכאתו יתן לכם * ומן ברכת
יג	13	0		0	פיוט #144 — צלית ידם חדש הר אישון אן אתא בשבת	ז י יג* * אדוני יהוה ... . חסדך מרי בעמל הנבי הצדיק * הנאמן משה עבדך
יתודע	13	0		0	פיוט #218 — צלות מועד הפסח במדינה	בטרור יתודע המתוק ובמחוק יתודע המרור : ובמצור יתודע הרוח וברוח
קשיטות	11	2		0	פיוט #218 — צלות מועד הפסח במדינה	הנבון ידעד קשיטות מימרי : . ז
נפיל	11	2	תהיה	0.577	פיוט #222 — צלות מרעד הפסח במדינה	ובכורי מצראי נפיל :
