phrase	count	section
הוה כרז	8	מימר מרקה I:72
כרז לונ	8	מימר מרקה I:72
הוה כרז לונ	8	מימר מרקה I:72
הנ הוה	8	מימר מרקה I:9a
משה משה	8	מימר מרקה I:3
לכנ אמר	8	מימר מרקה II:20
בה לא	8	מימר מרקה II:48
בית אלהימ	8	מימר מרקה II:40
בכל אתר	8	מימר מרקה II:49
כוננו ידכ יהוה	8	מימר מרקה II:50
ידכ יהוה ימלכ	8	מימר מרקה II:50
מנ אלה	8	מימר מרקה III:13
במה דעבד	8	מימר מרקה III:71
כל אחד	8	מימר מרקה III:72b
יהוה אלהכ	8	מימר מרקה III:50
מודאה לאלה	8	מימר מרקה III:33
בר מנה	8	מימר מרקה III:8
מלכה רבה	8	מימר מרקה III:14
וילה אנש	8	מימר מרקה IV:56
לנביה רבה	8	מימר מרקה IV:68
לנביה רבה משה	8	מימר מרקה IV:68
אהנ דברה	8	מימר מרקה IV:17
מידי מציל	8	מימר מרקה IV:42
ולא בני	8	מימר מרקה IV:45
תמנ עול	8	מימר מרקה IV:25
הוה תמנ עול	8	מימר מרקה IV:25
הנ לא יקרב	8	מימר מרקה V:5
לא יקרב לה	8	מימר מרקה V:3
אה נביה רבה	8	מימר מרקה VI:35
פרעה מלכה	7	מימר מרקה I:35
ליד פרעה	7	מימר מרקה I:35
בדחלה רבה	7	מימר מרקה I:35
ועלמה עלמ	7	מימר מרקה I:13
שגר ית	7	מימר מרקה I:70
לונ פרעה	7	מימר מרקה I:70
כד אמר	7	מימר מרקה I:70
ואמר לונ	7	מימר מרקה I:47
שלמ לכ	7	מימר מרקה I:47
שלח ית	7	מימר מרקה I:47
מה דאמר	7	מימר מרקה I:39
ממלל עמ	7	מימר מרקה I:12a
צבה שמע	7	מימר מרקה I:56
שמע לונ	7	מימר מרקה I:56
על ממללה	7	מימר מרקה I:56
דו בעי	7	מימר מרקה I:56
ולא צבה שמע	7	מימר מרקה I:56
צבה שמע לונ	7	מימר מרקה I:56
לגו ארע	7	מימר מרקה I:75
למשה ולאהרנ	7	מימר מרקה I:45
כד עמו	7	מימר מרקה I:53
בפלגות ליליה	7	מימר מרקה I:68
שמע מנ	7	מימר מרקה I:19
אפרשו גדילה	7	מימר מרקה I:22
נתנ אפרשו גדילה	7	מימר מרקה I:22
ליליה ויהוה	7	מימר מרקה I:69
ויהוה קטל	7	מימר מרקה I:69
הלא לית	7	מימר מרקה I:69
בית דלית	7	מימר מרקה I:69
ליליה ויהוה קטל	7	מימר מרקה I:69
ממללה עמ	7	מימר מרקה I:18
דנ לדנ	7	מימר מרקה I:27
אתי בשלמ	7	מימר מרקה I:27
ולבה מלי	7	מימר מרקה I:17
בני אדמ	7	מימר מרקה I:55
ולא שמע	7	מימר מרקה I:55
ואמ מחי	7	מימר מרקה I:50
אה מנ	7	מימר מרקה I:13a
סגי ממה	7	מימר מרקה I:33
יהי לה	7	מימר מרקה I:10a
אדכיר לטב	7	מימר מרקה I:23
וית בניו	7	מימר מרקה I:23
אתתה וית בניו	7	מימר מרקה I:23
משה מנ	7	מימר מרקה I:77
קעמ ולא	7	מימר מרקה I:77
קעמ ולא יקומ	7	מימר מרקה I:77
שת מונ	7	מימר מרקה I:32
שת מונ דאלפ	7	מימר מרקה I:32
לה שלמ	7	מימר מרקה I:38
ביד קשטה	7	מימר מרקה I:11a
מה דנ	7	מימר מרקה I:14a
בכל דרי	7	מימר מרקה I:14a
בכל דרי עלמה	7	מימר מרקה I:14a
טור סיני	7	מימר מרקה I:72
טב מנה	7	מימר מרקה I:16
דו רחמנ	7	מימר מרקה II:47
רחמנ ורתאי	7	מימר מרקה II:47
בימ סופ	7	מימר מרקה II:6
אחד מנונ	7	מימר מרקה II:39
לא קמ כותה	7	מימר מרקה II:7
משכנה קדישה	7	מימר מרקה II:48
בה ובמשה	7	מימר מרקה II:51
שמ יהוה	7	מימר מרקה II:37
כד קרא	7	מימר מרקה II:46
אהנ איקרה	7	מימר מרקה III:13
טב לנ	7	מימר מרקה III:47
אלה לא	7	מימר מרקה III:6
כל טוב	7	מימר מרקה III:6
כל מד	7	מימר מרקה III:39
הממנ לחודה	7	מימר מרקה III:76
מנ שרואה	7	מימר מרקה III:53
כל חדה	7	מימר מרקה III:68
עמי מה	7	מימר מרקה III:68
לא יכל	7	מימר מרקה III:19
לבר מנ	7	מימר מרקה III:72b
מנ גוני	7	מימר מרקה III:18
ישתבח רחמנה	7	מימר מרקה III:14
ישתבח רחמנה דרחמיו	7	מימר מרקה III:14
בכל איקר	7	מימר מרקה III:31
יהוה אלהיכ	7	מימר מרקה III:7
כנ אנה	7	מימר מרקה III:48
קשטה ולא	7	מימר מרקה III:5
לא תהי	7	מימר מרקה III:58
לגו משכנה	7	מימר מרקה III:38
למשה נביא	7	מימר מרקה IV:6
מדמי למשה נביא	7	מימר מרקה IV:6
אה נביא	7	מימר מרקה IV:68
אננ בני	7	מימר מרקה IV:46
יהי כנ	7	מימר מרקה IV:46
גוני תמחיה	7	מימר מרקה IV:99
תמנ עול כד	7	מימר מרקה IV:25
לידה מותה	7	מימר מרקה V:5
שלמ עליכ	7	מימר מרקה V:19
יקרב לה מותה	7	מימר מרקה V:3
אה מלכה	6	מימר מרקה I:35
בעינ מנכ	6	מימר מרקה I:35
ואמר לה אה	6	מימר מרקה I:35
יה אלה	6	מימר מרקה I:13
בה רוח	6	מימר מרקה I:13
אמר לונ פרעה	6	מימר מרקה I:70
בבלוד רב	6	מימר מרקה I:47
עמי וישמשני	6	מימר מרקה I:47
ית עמי וישמשני	6	מימר מרקה I:47
וכל עמה	6	מימר מרקה I:6
כותה לא	6	מימר מרקה I:39
על מלה	6	מימר מרקה I:39
עמ נביה	6	מימר מרקה I:12a
ולא תהי	6	מימר מרקה I:12a
משה הכ	6	מימר מרקה I:12a
עמ נביה רבה	6	מימר מרקה I:12a
הכ אמר לה	6	מימר מרקה I:12a
לבה ולא	6	מימר מרקה I:56
לונ כל	6	מימר מרקה I:56
בה משה	6	מימר מרקה I:56
ואמר ניחח	6	מימר מרקה I:75
ניחח רוחכ	6	מימר מרקה I:75
עננה ואשתה	6	מימר מרקה I:75
רבו רבה	6	מימר מרקה I:75
ואמר ניחח רוחכ	6	מימר מרקה I:75
לה משה	6	מימר מרקה I:59
עמוד עננה	6	מימר מרקה I:59
פקד יהוה	6	מימר מרקה I:53
ואמר יה לאהרנ	6	מימר מרקה I:26
מה יתעבד	6	מימר מרקה I:19
מלבינ כל	6	מימר מרקה I:19
אננ אנונ	6	מימר מרקה I:43
והוה בפלגות	6	מימר מרקה I:69
לית בית	6	מימר מרקה I:69
דלית תמנ	6	מימר מרקה I:69
תמנ מית	6	מימר מרקה I:69
והוה בפלגות ליליה	6	מימר מרקה I:69
בפלגות ליליה ויהוה	6	מימר מרקה I:69
הלא לית בית	6	מימר מרקה I:69
לית בית דלית	6	מימר מרקה I:69
בית דלית תמנ	6	מימר מרקה I:69
דלית תמנ מית	6	מימר מרקה I:69
שמע משה	6	מימר מרקה I:21
קעמ על	6	מימר מרקה I:18
רב מכנ	6	מימר מרקה I:18
מנ לבטה	6	מימר מרקה I:4
כי מנ	6	מימר מרקה I:4
כל ארע	6	מימר מרקה I:55
סגי מנ	6	מימר מרקה I:55
רבה לא	6	מימר מרקה I:55
גלי לכ	6	מימר מרקה I:33
שמי רבה	6	מימר מרקה I:33
כל עלמה	6	מימר מרקה I:33
יהוה אל משה	6	מימר מרקה I:33
יכל קעמ	6	מימר מרקה I:23
אלה מנ	6	מימר מרקה I:77
פרעה עלל	6	מימר מרקה I:77
לא קעמ ולא	6	מימר מרקה I:77
עבד רוח	6	מימר מרקה I:48
רוח רמה	6	מימר מרקה I:48
רמה ולא	6	מימר מרקה I:48
רב מותר	6	מימר מרקה I:48
עבד רוח רמה	6	מימר מרקה I:48
רוח רמה ולא	6	מימר מרקה I:48
רמה ולא צבה	6	מימר מרקה I:48
כל בוראיה	6	מימר מרקה I:11a
על רישה	6	מימר מרקה I:3
ביד אלה	6	מימר מרקה I:54
לעלמ נביה	6	מימר מרקה II:1b
אדכיר לטב עד	6	מימר מרקה II:1b
מה דעבד	6	מימר מרקה II:47
ובמשה נביה	6	מימר מרקה II:47
דו רחמנ ורתאי	6	מימר מרקה II:47
לעלמ כי	6	מימר מרקה II:8
חיי עולמ	6	מימר מרקה II:1a
לא יקומ	6	מימר מרקה II:1a
וכל ישראל	6	מימר מרקה II:7
מנה לעלמ	6	מימר מרקה II:48
אהנ הכ	6	מימר מרקה II:40
טורה טבה	6	מימר מרקה II:40
דמע מכל	6	מימר מרקה II:40
אהנ הכ משה	6	מימר מרקה II:40
כלה בה	6	מימר מרקה II:45
כד בלש	6	מימר מרקה II:45
זבנ ועדנ	6	מימר מרקה II:49
שביל קשטה	6	מימר מרקה II:49
וילה לאנש	6	מימר מרקה II:50
עד יומ	6	מימר מרקה II:50
כהלה חיימ	6	מימר מרקה III:13
עמ כל	6	מימר מרקה III:70
אוי לנ	6	מימר מרקה III:47
עד האנ	6	מימר מרקה III:47
סגי מכל	6	מימר מרקה III:39
כד קעמ	6	מימר מרקה III:56
אוי לאנש	6	מימר מרקה III:75
בקלל רב	6	מימר מרקה III:59
מד לית	6	מימר מרקה III:59
מד ליתו	6	מימר מרקה III:59
נודי לחילה	6	מימר מרקה III:59
ליד משכנה	6	מימר מרקה III:9
יה אלהכ	6	מימר מרקה III:22
על טור	6	מימר מרקה III:17
הב בלכ לא	6	מימר מרקה III:50
במדע שלמ	6	מימר מרקה III:25
לית תמנ	6	מימר מרקה III:8
וכד הוה	6	מימר מרקה III:14
ומד בה	6	מימר מרקה III:31
ית קלה	6	מימר מרקה III:38
לית בחיל	6	מימר מרקה III:46
ולית עורי	6	מימר מרקה IV:84
רחמנ ולית עורי	6	מימר מרקה IV:84
ירומ מדעה	6	מימר מרקה IV:6
מדעה דמשה	6	מימר מרקה IV:6
נביא לא	6	מימר מרקה IV:6
במה דעבדו	6	מימר מרקה IV:56
שעתה דבה	6	מימר מרקה IV:103
ראו עתה	6	מימר מרקה IV:103
אשתתי יומיה	6	מימר מרקה IV:15
מנ לה	6	מימר מרקה IV:15
ובטלת שמונ	6	מימר מרקה IV:65
אה שלטנו	6	מימר מרקה IV:77
ואינ מידי	6	מימר מרקה IV:42
ואינ מידי מציל	6	מימר מרקה IV:42
תהי דבב	6	מימר מרקה IV:11
לא כמעת	6	מימר מרקה V:35
כמעת עיניה	6	מימר מרקה V:35
לא כמעת עיניה	6	מימר מרקה V:35
תורה צוה	6	מימר מרקה V:14
צוה לנו	6	מימר מרקה V:14
לנו משה	6	מימר מרקה V:14
תורה צוה לנו	6	מימר מרקה V:14
צוה לנו משה	6	מימר מרקה V:14
על כנ אנה	6	מימר מרקה V:4
מדמי למ	6	מימר מרקה V:34
ומנ מדמי למ	6	מימר מרקה V:34
מנה מנ	5	מימר מרקה I:35
מנשי לה	5	מימר מרקה I:13
לה ועלמה	5	מימר מרקה I:13
בה ולא	5	מימר מרקה I:13
מנשי לה ועלמה	5	מימר מרקה I:13
לה ועלמה עלמ	5	מימר מרקה I:13
ושת מונ	5	מימר מרקה I:70
רב לא	5	מימר מרקה I:47
לא כותה	5	מימר מרקה I:47
למשלח ית	5	מימר מרקה I:47
